CID,MW,XLogP3,HBDC,HDAC,RBC,ExactMass,MonoMass,TPSA,HAC,Charge,Complexity,IsotopeAtoms,DASC,UASC,DBSC,UBSC,CBU,chembl_id,ic50_value,log_ic50,target_chembl_id,target_name
76310355,610.5,0.0,1,9,5,609.1521296,609.1521296,78.9,41,0,882.0,0,0,1,0,0,2,CHEMBL3112780,6700.0,3.8260748027008264,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
129028630,672.5,3.7,2,8,6,671.1502379,671.1502379,110.0,47,0,1200.0,0,4,0,0,0,1,CHEMBL4779757,7.0,0.8450980400142568,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
70684416,1135.8,8.5,5,15,24,1134.4586293,1134.4586293,245.0,79,0,1970.0,0,2,0,0,0,1,CHEMBL2063882,6.1,0.785329835010767,CHEMBL4625,Apoptosis regulator Bcl-X
72205161,497.0,3.7,0,6,6,496.1877331,496.1877331,78.7,35,0,730.0,0,0,1,0,0,1,CHEMBL3955006,1.64,0.21484384804769785,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
67998873,580.6,5.7,1,5,11,579.1612998,579.1612998,100.0,38,0,943.0,0,4,0,0,0,1,CHEMBL3915213,0.2,-0.6989700043360187,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
56591151,529.5,3.0,1,4,9,528.1946483,528.1946483,60.9,36,0,778.0,0,3,0,0,0,1,CHEMBL4115245,60.0,1.7781512503836436,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
164769791,521.1,3.2,2,8,5,520.2465854,520.2465854,93.9,37,0,736.0,0,0,0,0,0,1,CHEMBL5092012,220.0,2.342422680822206,CHEMBL3883320,Histone-lysine N-methyltransferase 2A/WDR5
155537046,366.5,2.8,1,6,7,366.10718492,366.10718492,110.0,24,0,563.0,0,0,0,1,0,1,CHEMBL4474497,2511.89,3.4000006169763797,CHEMBL612545,Unchecked
71606424,936.6,8.3,3,12,18,935.3265525,935.3265525,190.0,65,0,1590.0,0,1,0,0,0,1,CHEMBL2325761,8.2,0.9138138523837167,CHEMBL4625,Apoptosis regulator Bcl-X
145963385,456.6,5.4,0,6,12,456.25118886,456.25118886,78.9,33,0,746.0,0,0,2,0,0,1,CHEMBL4126974,3000.0,3.4771212547196626,CHEMBL4296108,HIF1A/p300/CREB-binding protein
16109094,779.0,8.4,2,10,15,778.29711094,778.29711094,164.0,55,0,1280.0,0,1,0,0,0,1,CHEMBL374309,11.0,1.0413926851582251,CHEMBL612545,Unchecked
57406853,727.8,7.3,0,6,10,726.2773326,726.2773326,90.9,49,0,1260.0,0,2,0,0,0,1,CHEMBL2386346,18.0,1.255272505103306,CHEMBL5023,p53-binding protein Mdm-2
