chembl_id,ic50_value,units,pchembl_value,target_chembl_id,target_name,assay_chembl_id,activity_comment
CHEMBL13598,1120,nM,5.95,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13602,870,nM,6.06,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13604,1020,nM,5.99,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13611,4000,nM,5.4,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13640,8500,nM,5.07,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13686,620,nM,6.21,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13693,5900,nM,5.23,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13709,4200,nM,5.38,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13768,2900,nM,5.54,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL13778,480,nM,6.32,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL1770807,33.11,nM,7.48,CHEMBL1949,Cyclophilin A,CHEMBL1772770,
CHEMBL1790316,6000,nM,5.22,CHEMBL1949,Cyclophilin A,CHEMBL759111,
CHEMBL1793898,90000,nM,4.05,CHEMBL1949,Cyclophilin A,CHEMBL759111,
CHEMBL1911379,4.9,nM,8.31,CHEMBL1949,Cyclophilin A,CHEMBL1913027,
CHEMBL198293,458,nM,6.34,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL199550,528,nM,6.28,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL199968,316,nM,6.5,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL200133,640,nM,6.19,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL201025,951,nM,6.02,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL201113,1437,nM,5.84,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL201164,5500,nM,5.26,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL201394,361,nM,6.44,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL201395,60,nM,7.22,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL201450,592,nM,6.23,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL201645,71,nM,7.15,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL201664,140,nM,6.85,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL201718,810,nM,6.09,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL202414,303,nM,6.52,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL202880,754,nM,6.12,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL203100,4100,nM,5.39,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL203142,880,nM,6.06,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL203193,14,nM,7.85,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL203194,20,nM,7.7,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL268519,880,nM,6.06,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL276409,690,nM,6.16,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL276713,3350,nM,5.47,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL358925,90000,nM,4.05,CHEMBL1949,Cyclophilin A,CHEMBL666527,
CHEMBL371213,320,nM,6.5,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL373254,60,nM,7.22,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL382465,499,nM,6.3,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL382567,748,nM,6.13,CHEMBL1949,Cyclophilin A,CHEMBL869970,
CHEMBL417253,590,nM,6.23,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL429034,9500,nM,5.02,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL441409,940,nM,6.03,CHEMBL2780,Cyclophilin A,CHEMBL666529,
CHEMBL443891,160,nM,6.8,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL445297,350,nM,6.46,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL482839,810,nM,6.09,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL489021,380,nM,6.42,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL489022,330,nM,6.48,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL489041,130,nM,6.89,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL489042,450,nM,6.35,CHEMBL1949,Cyclophilin A,CHEMBL960175,
